id,Region/Country/Area,Population aged 0 to 14 years old (percentage),Population aged 60+ years old (percentage),Population density,Population mid-year estimates (millions),Population mid-year estimates for females (millions),Population mid-year estimates for males (millions),Sex ratio (males per 100 females),Dummy Description
58,Denmark,16.1,26.5,138.8,5.88,2.96,2.93,99.0,Denmark is a country in the UN populations dataset.
59,Djibouti,30.4,7.1,48.4,1.12,0.56,0.56,98.5,Djibouti is a country in the UN populations dataset.
60,Dominica,19.6,14.5,97.0,0.07,0.04,0.04,98.9,Dominica is a country in the UN populations dataset.
61,Dominican Republic,27.1,11.2,232.4,11.23,5.59,5.63,100.7,Dominican Republic is a country in the UN populations dataset.
62,Ecuador,25.7,11.3,72.5,18.00,9.02,8.98,99.6,Ecuador is a country in the UN populations dataset.
63,Egypt,32.9,7.7,111.5,110.99,54.87,56.12,102.3,Egypt is a country in the UN populations dataset.
64,El Salvador,25.4,11.6,305.8,6.34,3.32,3.02,90.9,El Salvador is a country in the UN populations dataset.
65,Equatorial Guinea,38.5,5.1,59.7,1.67,0.79,0.88,111.8,Equatorial Guinea is a country in the UN populations dataset.
66,Eritrea,39.2,6.1,30.4,3.68,1.87,1.82,97.4,Eritrea is a country in the UN populations dataset.
67,Estonia,16.4,27.0,30.5,1.33,0.7,0.63,90.4,Estonia is a country in the UN populations dataset.
68,Eswatini,34.7,6.2,69.2,1.20,0.61,0.6,98.5,Eswatini is a country in the UN populations dataset.
69,Ethiopia,39.6,4.9,123.4,123.38,61.4,61.98,100.9,Ethiopia is a country in the UN populations dataset.
70,Falkland Islands (Malvinas),17.7,17.4,0.3,0.00,0.0,0.0,100.7,Falkland Islands (Malvinas) is a country in the UN populations dataset.
71,Faroe Islands,20.7,23.6,38.3,0.05,0.03,0.03,107.3,Faroe Islands is a country in the UN populations dataset.
72,Fiji,28.6,9.7,50.9,0.93,0.46,0.47,100.5,Fiji is a country in the UN populations dataset.
73,Finland,15.2,29.7,18.3,5.54,2.8,2.74,97.7,Finland is a country in the UN populations dataset.
74,France,17.2,27.8,117.2,64.63,33.4,31.23,93.5,France is a country in the UN populations dataset.
75,French Guiana,32.1,9.4,3.7,0.30,0.15,0.15,98.8,French Guiana is a country in the UN populations dataset.
76,French Polynesia,21.3,15.2,83.1,0.31,0.15,0.15,102.2,French Polynesia is a country in the UN populations dataset.
77,Gabon,36.3,6.0,9.3,2.39,1.17,1.22,103.6,Gabon is a country in the UN populations dataset.
78,Gambia,43.1,4.0,267.4,2.71,1.36,1.35,99.0,Gambia is a country in the UN populations dataset.
79,Georgia,21.3,21.0,53.9,3.74,1.98,1.76,88.7,Georgia is a country in the UN populations dataset.
80,Germany,14.0,29.7,239.2,83.37,42.23,41.14,97.4,Germany is a country in the UN populations dataset.
81,Ghana,36.9,5.9,147.1,33.48,16.78,16.7,99.5,Ghana is a country in the UN populations dataset.
82,Gibraltar,17.0,27.2,3264.9,0.03,0.02,0.02,99.8,Gibraltar is a country in the UN populations dataset.
83,Greece,13.9,29.4,79.4,10.39,5.3,5.08,95.8,Greece is a country in the UN populations dataset.
84,Greenland,20.9,16.9,0.1,0.06,0.03,0.03,110.6,Greenland is a country in the UN populations dataset.
85,Grenada,24.0,14.9,368.9,0.13,0.06,0.06,100.0,Grenada is a country in the UN populations dataset.
86,Guadeloupe,18.1,27.0,243.1,0.40,0.22,0.18,82.6,Guadeloupe is a country in the UN populations dataset.
87,Guam,26.1,17.0,317.5,0.17,0.09,0.09,101.3,Guam is a country in the UN populations dataset.
88,Guatemala,32.4,7.1,166.5,17.84,9.01,8.83,98.0,Guatemala is a country in the UN populations dataset.
89,Guinea,41.5,5.1,56.4,13.86,7.01,6.85,97.8,Guinea is a country in the UN populations dataset.
90,Guinea-Bissau,40.1,4.5,74.9,2.11,1.07,1.04,97.6,Guinea-Bissau is a country in the UN populations dataset.
91,Guyana,28.6,9.9,4.1,0.81,0.41,0.4,95.9,Guyana is a country in the UN populations dataset.
92,Haiti,32.1,7.1,420.2,11.59,5.85,5.74,98.2,Haiti is a country in the UN populations dataset.
93,Holy See,nan,nan,1160.2,nan,nan,nan,nan,Holy See is a country in the UN populations dataset.
94,Honduras,30.1,6.6,95.6,10.43,5.17,5.27,102.0,Honduras is a country in the UN populations dataset.
95,Hungary,14.4,25.8,110.1,9.97,5.18,4.79,92.3,Hungary is a country in the UN populations dataset.
96,Iceland,18.5,21.0,3.7,0.37,0.18,0.19,105.2,Iceland is a country in the UN populations dataset.
97,India,25.3,10.5,476.7,1417.17,685.99,731.18,106.6,India is a country in the UN populations dataset.
98,Indonesia,25.2,10.9,144.2,275.50,136.8,138.7,101.4,Indonesia is a country in the UN populations dataset.
99,Iran (Islamic Republic of),23.6,11.6,54.4,88.55,43.84,44.71,102.0,Iran (Islamic Republic of) is a country in the UN populations dataset.
100,Iraq,37.7,5.1,102.5,44.50,22.21,22.29,100.4,Iraq is a country in the UN populations dataset.
101,Ireland,19.6,20.5,73.5,5.02,2.53,2.49,98.3,Ireland is a country in the UN populations dataset.
102,Isle of Man,14.7,29.4,147.8,0.08,0.04,0.04,98.1,Isle of Man is a country in the UN populations dataset.
103,Israel,28.1,16.1,417.6,9.04,4.53,4.51,99.5,Israel is a country in the UN populations dataset.
104,Italy,12.4,31.0,199.5,59.04,30.25,28.79,95.2,Italy is a country in the UN populations dataset.
105,Jamaica,19.8,11.9,261.1,2.83,1.43,1.4,98.4,Jamaica is a country in the UN populations dataset.
106,Japan,11.6,35.8,328.9,123.95,63.71,60.24,94.6,Japan is a country in the UN populations dataset.
107,Jordan,32.1,6.3,127.1,11.29,5.44,5.85,107.5,Jordan is a country in the UN populations dataset.
108,Kazakhstan,29.7,12.8,7.2,19.40,10.06,9.34,92.8,Kazakhstan is a country in the UN populations dataset.
109,Kenya,37.8,4.6,93.0,54.03,27.25,26.78,98.3,Kenya is a country in the UN populations dataset.
110,Kiribati,36.1,6.3,180.8,0.13,0.07,0.06,95.0,Kiribati is a country in the UN populations dataset.
111,Kuwait,20.7,9.3,239.6,4.27,1.67,2.6,155.2,Kuwait is a country in the UN populations dataset.
112,Kyrgyzstan,34.4,7.9,34.6,6.63,3.38,3.26,96.5,Kyrgyzstan is a country in the UN populations dataset.
